x,y,z
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.05
-0.0,-0.05,-1.02
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.03
-0.01,-0.05,-1.04
-0.0,-0.05,-1.03
-0.01,-0.05,-1.02
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.04
-0.01,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.03
-0.01,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.01,-0.05,-1.02
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.01,-0.05,-1.02
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.01,-0.05,-1.02
-0.0,-0.05,-1.05
-0.0,-0.05,-1.02
-0.01,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.01,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.01,-0.05,-1.04
-0.0,-0.05,-1.04
-0.01,-0.05,-1.02
-0.0,-0.05,-1.03
-0.01,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.01,-0.05,-1.03
-0.01,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.01,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.01,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.01,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.01,-0.05,-1.03
-0.01,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.01,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.01,-0.05,-1.03
-0.01,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
